eco,opening_name,month,actual,forecast,lower_ci,upper_ci,is_forecast,structural_break,model_tier,forecast_quality,model_tier_override,model_name
A06,A06,2025-05,0.5131139723414402,,,,False,False,1,high,,holt_winters
A06,A06,2025-06,0.528043422072887,,,,False,False,1,high,,holt_winters
A06,A06,2025-07,0.5068493150684932,,,,False,False,1,high,,holt_winters
A06,A06,2025-08,0.5091902632886239,,,,False,False,1,high,,holt_winters
A06,A06,2025-09,0.5189967717904147,,,,False,False,1,high,,holt_winters
A06,A06,2025-10,0.5030994297049343,,,,False,False,1,high,,holt_winters
A06,A06,2025-11,0.5039313795568263,,,,False,False,1,high,,holt_winters
A06,A06,2025-12,0.5118381403357727,,,,False,False,1,high,,holt_winters
A06,A06,2026-01,0.5162812647475225,,,,False,False,1,high,,holt_winters
A06,A06,2026-02,0.5161101347393088,,,,False,False,1,high,,holt_winters
A06,A06,2026-03,0.5085667663856405,,,,False,False,1,high,,holt_winters
A06,A06,2026-04,0.5012701100762066,,,,False,False,1,high,,holt_winters
A06,A06,2026-05,,0.510032,0.495508,0.524557,True,False,1,high,,holt_winters
A06,A06,2026-06,,0.509943,0.495348,0.524538,True,False,1,high,,holt_winters
A06,A06,2026-07,,0.509854,0.494962,0.524745,True,False,1,high,,holt_winters
A08,A08,2023-01,0.5276583123238915,,,,False,False,1,medium,,holt_winters
A08,A08,2023-02,0.5457041343669251,,,,False,False,1,medium,,holt_winters
A08,A08,2023-03,0.5413016270337923,,,,False,False,1,medium,,holt_winters
A08,A08,2023-04,0.5555555555555556,,,,False,False,1,medium,,holt_winters
A08,A08,2023-05,0.5494435612082671,,,,False,False,1,medium,,holt_winters
A08,A08,2023-06,0.5450016605778811,,,,False,False,1,medium,,holt_winters
A08,A08,2023-07,0.545845518665061,,,,False,False,1,medium,,holt_winters
A08,A08,2023-08,0.5429649065267301,,,,False,False,1,medium,,holt_winters
A08,A08,2023-09,0.5489459061938226,,,,False,False,1,medium,,holt_winters
A08,A08,2023-10,0.5428211586901763,,,,False,False,1,medium,,holt_winters
A08,A08,2023-11,0.5404423902277979,,,,False,False,1,medium,,holt_winters
A08,A08,2023-12,0.5378539493293591,,,,False,False,1,medium,,holt_winters
A08,A08,2024-01,0.5423572744014733,,,,False,False,1,medium,,holt_winters
A08,A08,2024-02,0.527366387636832,,,,False,False,1,medium,,holt_winters
A08,A08,2024-03,0.5460804255984979,,,,False,False,1,medium,,holt_winters
A08,A08,2024-04,0.5422114608555286,,,,False,False,1,medium,,holt_winters
A08,A08,2024-05,0.5447545717035611,,,,False,False,1,medium,,holt_winters
A08,A08,2024-06,0.5464779671920231,,,,False,False,1,medium,,holt_winters
A08,A08,2024-07,0.5443333333333333,,,,False,False,1,medium,,holt_winters
A08,A08,2024-08,0.5390175784458683,,,,False,False,1,medium,,holt_winters
